,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
623,0.659,0.642,6,-3.638,1,0.0524,0.202,0.0,0.691,0.769,74.934,audio_features,7smpmyKwtHAZpWrDGMju2Q,spotify:track:7smpmyKwtHAZpWrDGMju2Q,https://api.spotify.com/v1/tracks/7smpmyKwtHAZpWrDGMju2Q,https://api.spotify.com/v1/audio-analysis/7smpmyKwtHAZpWrDGMju2Q,198600,4
624,0.712,0.891,2,-6.457,1,0.24,0.0557,0.0,0.134,0.799,170.13,audio_features,3PYx9Wte3jwb48V0wArMOy,spotify:track:3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/tracks/3PYx9Wte3jwb48V0wArMOy,https://api.spotify.com/v1/audio-analysis/3PYx9Wte3jwb48V0wArMOy,225920,4
625,0.878,0.699,0,-5.035,0,0.0464,0.0689,0.00219,0.0753,0.78,102.01,audio_features,1skUhc3JS3jLCfugI3gm41,spotify:track:1skUhc3JS3jLCfugI3gm41,https://api.spotify.com/v1/tracks/1skUhc3JS3jLCfugI3gm41,https://api.spotify.com/v1/audio-analysis/1skUhc3JS3jLCfugI3gm41,155018,4
626,0.827,0.546,1,-9.086,0,0.0763,0.146,0.00473,0.163,0.526,101.965,audio_features,5CR8jioIWEB0yaS4Ap2mz5,spotify:track:5CR8jioIWEB0yaS4Ap2mz5,https://api.spotify.com/v1/tracks/5CR8jioIWEB0yaS4Ap2mz5,https://api.spotify.com/v1/audio-analysis/5CR8jioIWEB0yaS4Ap2mz5,198032,4
627,0.731,0.674,2,-6.704,1,0.0801,0.0057,2.54e-05,0.109,0.73,90.022,audio_features,3KZK9MF3bAixN5UWOHVTbf,spotify:track:3KZK9MF3bAixN5UWOHVTbf,https://api.spotify.com/v1/tracks/3KZK9MF3bAixN5UWOHVTbf,https://api.spotify.com/v1/audio-analysis/3KZK9MF3bAixN5UWOHVTbf,198953,4
628,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,0.507,167.031,audio_features,1ayaOin9hxCtyhg4UsBTpg,spotify:track:1ayaOin9hxCtyhg4UsBTpg,https://api.spotify.com/v1/tracks/1ayaOin9hxCtyhg4UsBTpg,https://api.spotify.com/v1/audio-analysis/1ayaOin9hxCtyhg4UsBTpg,233013,4
629,0.753,0.566,9,-8.21,0,0.298,0.193,6.31e-05,0.14,0.154,135.039,audio_features,76bvw5EDyhm1b3dfsOToYG,spotify:track:76bvw5EDyhm1b3dfsOToYG,https://api.spotify.com/v1/tracks/76bvw5EDyhm1b3dfsOToYG,https://api.spotify.com/v1/audio-analysis/76bvw5EDyhm1b3dfsOToYG,204521,4
630,0.516,0.871,10,-3.261,1,0.041,0.00114,0.0,0.0877,0.457,134.021,audio_features,4emicu3yCflgo7z6cAuw5j,spotify:track:4emicu3yCflgo7z6cAuw5j,https://api.spotify.com/v1/tracks/4emicu3yCflgo7z6cAuw5j,https://api.spotify.com/v1/audio-analysis/4emicu3yCflgo7z6cAuw5j,221760,4
631,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,audio_features,18PergoIrGmRyeYxnaXJN2,spotify:track:18PergoIrGmRyeYxnaXJN2,https://api.spotify.com/v1/tracks/18PergoIrGmRyeYxnaXJN2,https://api.spotify.com/v1/audio-analysis/18PergoIrGmRyeYxnaXJN2,189052,4
632,0.737,0.447,7,-7.979,0,0.0281,0.327,0.00202,0.286,0.258,99.949,audio_features,68vWLW3xY35CHvYS2Sn55Q,spotify:track:68vWLW3xY35CHvYS2Sn55Q,https://api.spotify.com/v1/tracks/68vWLW3xY35CHvYS2Sn55Q,https://api.spotify.com/v1/audio-analysis/68vWLW3xY35CHvYS2Sn55Q,328763,3
