,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
741,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,audio_features,3nc420PXjTdBV5TN0gCFkS,spotify:track:3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/tracks/3nc420PXjTdBV5TN0gCFkS,https://api.spotify.com/v1/audio-analysis/3nc420PXjTdBV5TN0gCFkS,216420,4
742,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,audio_features,4kWO6O1BUXcZmaxitpVUwp,spotify:track:4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,215760,4
743,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,audio_features,2ZRo7axmMPeSVUvDbGkJah,spotify:track:2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/audio-analysis/2ZRo7axmMPeSVUvDbGkJah,110886,4
744,0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,audio_features,2Vx8E3K5icPZR7OCklWBXX,spotify:track:2Vx8E3K5icPZR7OCklWBXX,https://api.spotify.com/v1/tracks/2Vx8E3K5icPZR7OCklWBXX,https://api.spotify.com/v1/audio-analysis/2Vx8E3K5icPZR7OCklWBXX,238613,4
745,0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,audio_features,36ONiya0OANYknz0GgJmwB,spotify:track:36ONiya0OANYknz0GgJmwB,https://api.spotify.com/v1/tracks/36ONiya0OANYknz0GgJmwB,https://api.spotify.com/v1/audio-analysis/36ONiya0OANYknz0GgJmwB,245787,4
746,0.413,0.676,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.478,audio_features,1v1IXPXl73Z7zy6f5tUa9n,spotify:track:1v1IXPXl73Z7zy6f5tUa9n,https://api.spotify.com/v1/tracks/1v1IXPXl73Z7zy6f5tUa9n,https://api.spotify.com/v1/audio-analysis/1v1IXPXl73Z7zy6f5tUa9n,302173,4
747,0.899,0.587,11,-7.866,0,0.338,0.279,0.0,0.0835,0.49,149.993,audio_features,1iSZPndzmY6NvL1jAtIvY1,spotify:track:1iSZPndzmY6NvL1jAtIvY1,https://api.spotify.com/v1/tracks/1iSZPndzmY6NvL1jAtIvY1,https://api.spotify.com/v1/audio-analysis/1iSZPndzmY6NvL1jAtIvY1,214467,4
748,0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,audio_features,0bAkKNCQfWkexHFn7fIKns,spotify:track:0bAkKNCQfWkexHFn7fIKns,https://api.spotify.com/v1/tracks/0bAkKNCQfWkexHFn7fIKns,https://api.spotify.com/v1/audio-analysis/0bAkKNCQfWkexHFn7fIKns,217933,4
749,0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,audio_features,7txPE73wHbuXYkM1h8zNrG,spotify:track:7txPE73wHbuXYkM1h8zNrG,https://api.spotify.com/v1/tracks/7txPE73wHbuXYkM1h8zNrG,https://api.spotify.com/v1/audio-analysis/7txPE73wHbuXYkM1h8zNrG,205147,4
750,0.755,0.47,1,-8.72,1,0.139,0.0153,0.0,0.118,0.0604,76.056,audio_features,4uloft7ZE54WflsuqFmjC7,spotify:track:4uloft7ZE54WflsuqFmjC7,https://api.spotify.com/v1/tracks/4uloft7ZE54WflsuqFmjC7,https://api.spotify.com/v1/audio-analysis/4uloft7ZE54WflsuqFmjC7,184960,4
751,0.685,0.593,9,-9.083,0,0.284,0.134,0.0,0.123,0.144,84.763,audio_features,71SEHJPt1iDwGkBhUOAXDP,spotify:track:71SEHJPt1iDwGkBhUOAXDP,https://api.spotify.com/v1/tracks/71SEHJPt1iDwGkBhUOAXDP,https://api.spotify.com/v1/audio-analysis/71SEHJPt1iDwGkBhUOAXDP,136187,4
752,0.754,0.449,7,-9.212,1,0.108,0.0329,7.84e-05,0.55,0.35,77.167,audio_features,2VWbHHhWnMzKWPUs4IEEW9,spotify:track:2VWbHHhWnMzKWPUs4IEEW9,https://api.spotify.com/v1/tracks/2VWbHHhWnMzKWPUs4IEEW9,https://api.spotify.com/v1/audio-analysis/2VWbHHhWnMzKWPUs4IEEW9,198973,4
753,0.534,0.684,11,-7.874,0,0.717,0.164,0.0,0.499,0.338,170.416,audio_features,5fcM0StdQxMjzulVGhFkHN,spotify:track:5fcM0StdQxMjzulVGhFkHN,https://api.spotify.com/v1/tracks/5fcM0StdQxMjzulVGhFkHN,https://api.spotify.com/v1/audio-analysis/5fcM0StdQxMjzulVGhFkHN,195720,4
754,0.878,0.432,10,-9.852,0,0.143,0.041,0.0,0.0571,0.441,86.956,audio_features,7cfvP13Bqb1EyCZQiYsLum,spotify:track:7cfvP13Bqb1EyCZQiYsLum,https://api.spotify.com/v1/tracks/7cfvP13Bqb1EyCZQiYsLum,https://api.spotify.com/v1/audio-analysis/7cfvP13Bqb1EyCZQiYsLum,163973,4
755,0.759,0.479,11,-10.65,1,0.186,0.0039,5.3e-06,0.302,0.347,140.089,audio_features,3Yw09dj3cTXsAzlLjgBfIP,spotify:track:3Yw09dj3cTXsAzlLjgBfIP,https://api.spotify.com/v1/tracks/3Yw09dj3cTXsAzlLjgBfIP,https://api.spotify.com/v1/audio-analysis/3Yw09dj3cTXsAzlLjgBfIP,195813,4
756,0.7,0.909,8,-6.461,1,0.0628,0.0884,0.000114,0.0778,0.757,93.469,audio_features,0HVv5bEOiI9a0QfgcASXpX,spotify:track:0HVv5bEOiI9a0QfgcASXpX,https://api.spotify.com/v1/tracks/0HVv5bEOiI9a0QfgcASXpX,https://api.spotify.com/v1/audio-analysis/0HVv5bEOiI9a0QfgcASXpX,210747,4
757,0.487,0.85,1,-5.427,1,0.25,0.047,0.0,0.142,0.523,152.102,audio_features,1sPLURKAosM3Jampgp9AWq,spotify:track:1sPLURKAosM3Jampgp9AWq,https://api.spotify.com/v1/tracks/1sPLURKAosM3Jampgp9AWq,https://api.spotify.com/v1/audio-analysis/1sPLURKAosM3Jampgp9AWq,216333,4
758,0.776,0.482,1,-11.268,1,0.0356,0.481,0.0457,0.11,0.128,136.015,audio_features,0w1ZtnzQmtmuuoKxHT0pLL,spotify:track:0w1ZtnzQmtmuuoKxHT0pLL,https://api.spotify.com/v1/tracks/0w1ZtnzQmtmuuoKxHT0pLL,https://api.spotify.com/v1/audio-analysis/0w1ZtnzQmtmuuoKxHT0pLL,247893,4
759,0.888,0.377,7,-10.142,0,0.339,0.0126,0.0,0.19,0.126,133.996,audio_features,1Jrj3k5L36dPkU6KAclU7g,spotify:track:1Jrj3k5L36dPkU6KAclU7g,https://api.spotify.com/v1/tracks/1Jrj3k5L36dPkU6KAclU7g,https://api.spotify.com/v1/audio-analysis/1Jrj3k5L36dPkU6KAclU7g,162800,4
