,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2354,0.419,0.803,11,-5.498,1,0.246,0.032,3.7e-05,0.206,0.764,86.958,audio_features,104pmtTQOlmW8Zt2BipGKH,spotify:track:104pmtTQOlmW8Zt2BipGKH,https://api.spotify.com/v1/tracks/104pmtTQOlmW8Zt2BipGKH,https://api.spotify.com/v1/audio-analysis/104pmtTQOlmW8Zt2BipGKH,160067,4
2355,0.883,0.455,1,-8.338,1,0.0667,0.0122,7e-05,0.114,0.129,130.442,audio_features,4KvXkK07Xyxix6k4Hi60Ia,spotify:track:4KvXkK07Xyxix6k4Hi60Ia,https://api.spotify.com/v1/tracks/4KvXkK07Xyxix6k4Hi60Ia,https://api.spotify.com/v1/audio-analysis/4KvXkK07Xyxix6k4Hi60Ia,217187,4
2356,0.683,0.486,9,-7.767,1,0.156,0.014,0.000183,0.288,0.16,101.177,audio_features,1zQl9b5xI9eRVPMc9kKtmg,spotify:track:1zQl9b5xI9eRVPMc9kKtmg,https://api.spotify.com/v1/tracks/1zQl9b5xI9eRVPMc9kKtmg,https://api.spotify.com/v1/audio-analysis/1zQl9b5xI9eRVPMc9kKtmg,267964,4
2357,0.606,0.613,4,-6.758,1,0.0306,0.0182,0.0,0.125,0.258,123.943,audio_features,6ikDZX0oc8EKGj2vdMAEDv,spotify:track:6ikDZX0oc8EKGj2vdMAEDv,https://api.spotify.com/v1/tracks/6ikDZX0oc8EKGj2vdMAEDv,https://api.spotify.com/v1/audio-analysis/6ikDZX0oc8EKGj2vdMAEDv,207617,4
2358,0.42,0.172,3,-12.141,1,0.109,0.94,0.0,0.1,0.0845,94.388,audio_features,7s85izscOJfT2QkWTzMARa,spotify:track:7s85izscOJfT2QkWTzMARa,https://api.spotify.com/v1/tracks/7s85izscOJfT2QkWTzMARa,https://api.spotify.com/v1/audio-analysis/7s85izscOJfT2QkWTzMARa,152347,3
2359,0.655,0.768,4,-5.616,1,0.0365,0.385,0.000257,0.0733,0.431,92.021,audio_features,5HJId22hZ2IvFnvNSy6ZbE,spotify:track:5HJId22hZ2IvFnvNSy6ZbE,https://api.spotify.com/v1/tracks/5HJId22hZ2IvFnvNSy6ZbE,https://api.spotify.com/v1/audio-analysis/5HJId22hZ2IvFnvNSy6ZbE,180360,4
2360,0.544,0.464,1,-8.161,1,0.0387,0.675,0.00212,0.0981,0.148,139.918,audio_features,0pZcyLAMZ8b6a1Z1aF7nmb,spotify:track:0pZcyLAMZ8b6a1Z1aF7nmb,https://api.spotify.com/v1/tracks/0pZcyLAMZ8b6a1Z1aF7nmb,https://api.spotify.com/v1/audio-analysis/0pZcyLAMZ8b6a1Z1aF7nmb,209933,4
2361,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,audio_features,1YMBg7rOjxzbya0fPOYfNX,spotify:track:1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,198286,4
2362,0.428,0.429,0,-6.06,1,0.049,0.0879,0.00041,0.168,0.182,127.173,audio_features,0RILico3Gbl5jxSNg3zLrJ,spotify:track:0RILico3Gbl5jxSNg3zLrJ,https://api.spotify.com/v1/tracks/0RILico3Gbl5jxSNg3zLrJ,https://api.spotify.com/v1/audio-analysis/0RILico3Gbl5jxSNg3zLrJ,228147,4
2363,0.847,0.69,1,-5.098,0,0.0752,0.0973,0.000248,0.207,0.653,91.986,audio_features,4C1opPFRPafp6yj4AJPBRB,spotify:track:4C1opPFRPafp6yj4AJPBRB,https://api.spotify.com/v1/tracks/4C1opPFRPafp6yj4AJPBRB,https://api.spotify.com/v1/audio-analysis/4C1opPFRPafp6yj4AJPBRB,197053,4
2364,0.644,0.664,9,-8.398,1,0.0333,0.0481,0.862,0.342,0.53,124.726,audio_features,2VEZx7NWsZ1D0eJ4uv5Fym,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/tracks/2VEZx7NWsZ1D0eJ4uv5Fym,https://api.spotify.com/v1/audio-analysis/2VEZx7NWsZ1D0eJ4uv5Fym,301373,4
2365,0.716,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.012,audio_features,5MnAi6ZF7cE8pAz7wYr9Ta,spotify:track:5MnAi6ZF7cE8pAz7wYr9Ta,https://api.spotify.com/v1/tracks/5MnAi6ZF7cE8pAz7wYr9Ta,https://api.spotify.com/v1/audio-analysis/5MnAi6ZF7cE8pAz7wYr9Ta,260537,4
