id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0gWoC0IaAIiXLjB6BTH3G2,0.579,0.771,10,-5.497,0,0.038,0.03,1.63e-06,0.298,0.609,140.196,198000,4
22UDw8rSfLbUsaAGTXQ4Z8,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,284733,4
1fDsrQ23eTAVFElUMaf38X,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4
0mQiDbYxHElUp1eNpLZXaY,0.372,0.865,7,-4.288,0,0.0513,0.00169,0.00293,0.127,0.594,176.689,158040,3
5KE6acpiakjqiIskbWVfxB,0.73,0.766,9,-6.213,1,0.0475,0.00389,0.0482,0.0829,0.14,100.017,246357,4
5aJ1M43pinROpwaPnO8KRj,0.535,0.714,6,-5.753,0,0.0329,0.332,2.91e-06,0.0806,0.458,100.059,221554,3
68QcquxCS39cQGTsRrJWIR,0.749,0.418,9,-7.925,0,0.0587,0.985,0.000126,0.0832,0.307,147.887,153887,3
1fBl642IhJOE5U319Gy2Go,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
0U0266U8qEvuhZnHIYZKwd,0.684,0.901,7,-5.2,1,0.0843,0.00281,0.00123,0.0232,0.485,121.988,273908,4
7oYaJTWmimCgePQyID2kP9,0.536,0.602,8,-6.012,1,0.024,0.359,0.0,0.14,0.533,80.978,188640,4
1HagMz5nWk1HmevNCBOxF3,0.671,0.834,1,-3.928,0,0.0885,0.0387,0.0,0.454,0.454,113.021,190921,4
5lr4DTs2cUZqFdFEnl9KqV,0.582,0.757,2,-3.503,0,0.0453,0.363,0.0,0.37,0.489,120.141,204014,4
3NTQws0JI0usmAUXHD8Gia,0.763,0.596,1,-6.167,1,0.055,0.0143,3.39e-05,0.114,0.176,128.992,186420,4
5IkOnAKGDJT5M8KpFIHzsd,0.515,0.614,7,-4.609,0,0.0258,0.219,1.93e-06,0.244,0.288,92.046,242240,4
4PZl0QLHeqYouwy0iASyNF,0.939,0.621,1,-4.729,1,0.0864,0.00227,0.0,0.0957,0.229,135.05,163556,4
7my1wrfnHqssb3mtHEPWrI,0.652,0.715,0,-5.919,1,0.0388,0.0291,0.0,0.156,0.618,97.981,191036,4
4eOlGPkaTntGioy5LFepAI,0.622,0.602,4,-7.951,0,0.0865,0.106,0.0,0.293,0.465,159.806,178013,4
2yWtLaPCOUDyi7f1lOXCn5,0.475,0.936,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,209587,4
57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
4zvqMZ6g4wKZaPpOQvoBpP,0.392,0.976,7,-2.189,1,0.107,0.000107,0.0,0.271,0.521,199.888,261680,4
3Oj5f6XETShvp2xknJyGMf,0.844,0.85,1,-2.882,1,0.215,0.0954,1.12e-06,0.597,0.608,94.969,233720,4
0KA5Hg6c1vEiulQ1f2LICV,0.508,0.86,1,-4.584,1,0.0528,0.000251,4.74e-05,0.436,0.546,107.103,226667,3
59PYgzOiOjGDzjDT5N5oOX,0.825,0.69,10,-4.252,0,0.226,0.589,0.0,0.413,0.516,94.194,327467,4
7HjNOz8Y7H7uSySXuHNg1Y,0.241,0.534,3,-7.207,1,0.0321,0.0561,2.13e-06,0.103,0.277,159.974,293640,4
